,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
FaithJudge_hallucination_rate,200.0,0.06856,0.1872619061836595,0.0,0.0,0.0,0.0,1.0,3.467170995686754,12.649755367893828
FaithJudge_grounding_score,200.0,0.925955,0.18799776266978344,0.0,1.0,1.0,1.0,1.0,-3.3492699708755818,12.008640929730518
FaithJudge_subtle_error_detection,200.0,0.03488571428571428,0.13106384083808995,0.0,0.0,0.0,0.0,1.0,4.654655944015342,24.111284758381117
ReDeEP_external_context_score,200.0,0.2746304452281451,0.12502819992915631,0.0,0.19163562907182938,0.2750394588193274,0.37633308832503976,1.0,0.6687723569275654,4.396211411178745
ReDeEP_parametric_knowledge_score,200.0,0.34265491770306994,0.21979648413537048,0.0,0.1643739318758169,0.32825651530984135,0.4980264394281449,1.0,0.5511698052970156,-0.2408562134859542
ReDeEP_redeep_score,200.0,0.44297696279855414,0.14317749970825208,0.0,0.3530991615663241,0.44814777693016544,0.5403428243192194,1.0,-0.17410945145044557,0.9014920072721764
ReDeEP_copying_head_signal,200.0,0.43897038223907664,0.2951912137861693,0.0,0.2230850349106499,0.4038851648252888,0.6415521225970348,1.0,0.261251533264611,-0.8789903903126475
LettuceDetect_token_hallucination,200.0,0.21147979602399442,0.13552366928559204,0.0,0.12143060676685885,0.18783298206587423,0.2853536964331972,1.0,1.583580510457894,5.783331700416203
LettuceDetect_span_precision,200.0,0.39621758216635977,0.24932792798500703,0.0,0.23095200449406436,0.3276421963275544,0.4680212711033838,1.0,1.0877077455561812,0.2362407031203091
LettuceDetect_example_f1,200.0,0.6574913536652909,0.18720643427676603,0.0,0.5362735839228925,0.6695540520498435,0.7970495270178011,1.0,-0.501525300402352,0.09062469400622364
LettuceDetect_confidence,200.0,0.48169424644001024,0.21578218599102147,0.0,0.3359972339034609,0.4466960245796834,0.6294272171663708,1.0,0.2882029387463613,-0.6666685895830744
LRP4RAG_context_relevance,200.0,0.5782271730859955,0.21989538721190932,0.0,0.3848513165919141,0.6090067428103961,0.7646846141440201,1.0,-0.2221535098007391,-0.9038678295043177
LRP4RAG_response_relevance,200.0,0.41147481096437716,0.19828130718282633,0.0,0.26635710950853697,0.4134125895427161,0.5306764765134498,1.0,0.20827491661760988,-0.0754418569836739
LRP4RAG_relevance_consistency,200.0,0.7172692316134587,0.21160685085933606,0.0,0.5670468130678898,0.7468607361709568,0.8851501050068098,1.0,-0.5260756475370656,-0.2671732308000392
LRP4RAG_lrp_classifier_score,200.0,0.5276765306757493,0.19501934935537132,0.0,0.3905954141953028,0.5380911637018998,0.6703282215217543,1.0,-0.19912643991570503,-0.45654674063903045
LUMINA_context_utilization,200.0,0.6219749647215252,0.23096196041255748,0.0,0.4654494308305391,0.6467691015116939,0.8092785347400411,1.0,-0.3334686872947831,-0.6894246092521898
LUMINA_knowledge_utilization,200.0,0.18706302102095285,0.16446666024889023,0.0,0.08347793860851063,0.13201429872151493,0.2532194797668723,1.0,1.9336262208415362,4.918091247197589
LUMINA_lumina_score,200.0,0.643659193547624,0.1702855391327024,0.0,0.5643214179042243,0.6689349414704233,0.7692675554781944,1.0,-1.020428048181311,1.4257117502637753
LUMINA_signal_confidence,200.0,0.44841240468909827,0.16795948303147035,0.0,0.32918842549585325,0.4316413266297974,0.5754280010810867,1.0,0.3262115101733651,0.17420754571434482
HALT-RAG_nli_ensemble_score,200.0,0.14708717015380923,0.20794233009400362,0.0,0.0,0.03564402348733265,0.23582327838950326,1.0,1.6269083462366554,2.3381059878329733
HALT-RAG_lexical_overlap,200.0,0.6691462325831765,0.1616694432654,0.0,0.5852680836584921,0.6994625722150869,0.7767364535987293,1.0,-1.0105770563423455,1.4845948940970217
HALT-RAG_calibrated_confidence,200.0,0.44888823723607874,0.1439761841180287,0.0,0.352199383760718,0.4509035372844279,0.5303499426854905,1.0,0.25437328190130065,1.0585096132312701
HALT-RAG_abstention_score,200.0,0.4833084993337766,0.19110884394601038,0.0,0.35298686717710237,0.4826587321709176,0.6236842057146671,1.0,0.06252875605288137,-0.0694708868552345
MetaRAG_factoid_consistency,200.0,0.45681823993141935,0.2626403080530468,0.0,0.2421715447148765,0.419801543662796,0.6913434923106633,1.0,0.20021953636829085,-1.060384534111377
MetaRAG_synonym_stability,200.0,0.9675062212818689,0.08075417839107339,0.0,0.9589937726305995,1.0,1.0,1.0,-8.951578883460428,104.0830447071509
MetaRAG_antonym_detection,200.0,0.3653090567916494,0.11555153052361178,0.0,0.3137909380521018,0.3631811085227151,0.42181183928646415,1.0,0.9903821468056582,6.477092220703873
MetaRAG_metarag_score,200.0,0.39195547576970824,0.2413528056962141,0.0,0.2117671773129704,0.303579357614539,0.6306012722286543,1.0,0.736537952158802,-0.733652638256951
KG-RAG_kg_faithfulness,200.0,0.6597126356373356,0.2371341824282702,0.0,0.4757856656788849,0.6799702666371013,0.869543756868711,1.0,-0.3687086764552177,-0.769800834870686
KG-RAG_kg_relevancy,200.0,0.5602386478652754,0.3613011650916321,0.0,0.18824291875827048,0.4867254083775615,0.9586725614769398,1.0,-0.017657378643687053,-1.6663113363034325
KG-RAG_community_overlap,200.0,0.6271007199016809,0.25249212237990015,0.0,0.43161811462494887,0.6389663956822591,0.8512731610334227,1.0,-0.3396975539943719,-0.7851632995181834
KG-RAG_multi_hop_score,200.0,0.5578654932327868,0.23072197203108719,0.0,0.4041716078782066,0.5776755251889658,0.7363757275327146,1.0,-0.296768868523826,-0.618825953291497
GaRAGe_relevance_aware_factuality,200.0,0.8550269186661178,0.25215003870952407,0.0,0.8748821458622772,0.9721221995343183,1.0,1.0,-2.0800867216399133,3.4730413705205656
GaRAGe_grounding_precision,200.0,0.6000268458979275,0.28093696688178904,0.0,0.40430488774405476,0.6231698311926999,0.8437784253359923,1.0,-0.39057670749756074,-0.8305210321652154
GaRAGe_deflection_score,200.0,0.7506482887636347,0.16596432972064368,0.0,0.6906871223469089,0.7562852781971265,0.8385861406612797,1.0,-2.4074760837760523,8.986309593660248
GaRAGe_over_summarization,200.0,0.6755803563181789,0.20925036645684442,0.0,0.5368369977946611,0.6984728919121596,0.8243325229838583,1.0,-0.6459424876430507,0.38101673969294136
HSAD_spectral_consistency,200.0,0.6022633864536158,0.20940079227877476,0.0,0.4750580226288481,0.6267865323136901,0.7507718138984752,1.0,-0.40039584282737073,-0.3634776091680689
HSAD_temporal_stability,200.0,0.5323487461882109,0.3237199429096937,0.0,0.11967165223202304,0.6704511073362686,0.7785715644392049,1.0,-0.5708117899483383,-1.3402831370822825
HSAD_confidence_score,200.0,0.5581525327463244,0.20829419537362898,0.0,0.4202619327878573,0.578702720426102,0.7023011137800382,1.0,-0.2378800387780992,-0.38450085198657913
HSAD_hallucination_probability,200.0,0.3602168850897206,0.17770619361282303,0.0,0.23635893926732077,0.33356713867577026,0.45301074935538765,1.0,0.8705807191958466,1.4121545896439098
SIRG_semantic_grounding,200.0,0.8334110306313245,0.1620535689604273,0.0,0.7555934542563557,0.8731891520888357,0.9533705513549897,1.0,-1.8158956479421768,5.355195549800336
SIRG_linking_ratio,200.0,0.3341815118078125,0.15999675408576824,0.0,0.23991648304239765,0.3196723140468069,0.41662008893316843,1.0,0.9693452723459647,2.5768253083300916
SIRG_attribution_consistency,200.0,0.6114196177556174,0.2879448242677552,0.0,0.37101934905218215,0.596568908605184,0.9035387018209717,1.0,-0.1714453938411526,-1.1935529415640165
SIRG_sirg_score,200.0,0.7971096948820358,0.1824332616175577,0.0,0.7042766209329054,0.8267457587659535,0.9466355120017041,1.0,-1.3650503982937232,2.7019311017068164
